filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,661794,0.350088120,0.088756569,0.130227923,0.002826696,1784.165849539,129774.064525150,2002.449060118,85882.761315498,3805.839605840,901505.425532841,0.083044821,0.000766946,-0.000045297,0.008172282,0.000007783,0.005698182,123.046875000,-113.570648193,2564.207519531,121.571792603,295.913818359,-19.168142319,235.574432373,42.366420746,151.106872559,-6.364664078,167.934799194,18.623498917,89.180839539,-13.704891205,67.660491943,15.343150139,68.932579041,-12.274109840,82.204200745,10.976572037,63.386310577,-8.326573372,61.773094177,8.803792000,51.244125366,-3.672300100,41.217414856,5.747994900,40.554477692,-5.162881851,49.775421143,0.752740204,52.420909882,-1.690214634,36.524070740,-0.408979177,41.597103119,-2.303522587,55.062923431,1.221290708,46.936035156,blues
blues.00001.wav,661794,0.340913594,0.094980255,0.095947810,0.002372739,1530.176678746,375850.073648685,2039.036516092,213843.755496734,3550.522098408,2977893.388138650,0.056039809,0.001447521,0.000139581,0.005099332,-0.000177608,0.003063172,67.999588816,-207.501693726,7764.555175781,123.991264343,560.259948730,8.955126762,572.810913086,35.877647400,264.506103516,2.907319784,279.932922363,21.510465622,156.477096558,-8.560436249,200.849182129,23.370685577,142.555953979,-10.099660873,166.108520508,11.900497437,104.358612061,-5.555638790,105.173629761,5.376327038,96.197212219,-2.231760263,64.914291382,4.220139503,73.152534485,-6.012148380,52.422142029,0.927997768,55.356403351,-0.731124580,60.314529419,0.295072943,48.120597839,-0.283518016,51.106189728,0.531216502,45.786281586,blues
blues.00002.wav,661794,0.363637179,0.085275196,0.175570413,0.002745916,1552.811864761,156467.643368315,1747.702311668,76254.192256822,3042.260232381,784034.460703917,0.076291207,0.001006829,0.000002106,0.016341973,-0.000019466,0.007457626,161.499023438,-90.722595215,3319.044921875,140.446304321,508.765045166,-29.093889236,411.781219482,31.684333801,144.090316772,-13.984503746,155.493759155,25.764741898,74.548400879,-13.664875031,106.981826782,11.639933586,106.574874878,-11.783642769,65.447944641,9.718760490,67.908859253,-13.133803368,57.781425476,5.791199207,64.480209351,-8.907628059,60.385150909,-1.077000499,57.711135864,-9.229273796,36.580986023,2.451689959,40.598766327,-7.729092598,47.639427185,-1.816406965,52.382141113,-3.439720392,46.639659882,-2.231258392,30.573024750,blues
blues.00003.wav,661794,0.404784709,0.093999036,0.141093001,0.006346346,1070.106614997,184355.942416954,1596.412872177,166441.494768924,2184.745799195,1493194.360295710,0.033308863,0.000422759,0.000000458,0.019054487,-0.000014483,0.002712198,63.024009146,-199.544204712,5507.517089844,150.090896606,456.505401611,5.662678242,257.161163330,26.859079361,158.267303467,1.771399260,268.034393311,14.234030724,126.794128418,-4.832006454,155.912078857,9.286494255,81.273742676,-0.759186447,92.114089966,8.137606621,71.314079285,-3.200653315,110.236686707,6.079319000,48.251998901,-2.480173826,56.799400330,-1.079305053,62.289901733,-2.870788574,51.651592255,0.780873835,44.427753448,-3.319596529,50.206672668,0.636965036,37.319129944,-0.619121194,37.259738922,-3.407448292,31.949338913,blues
blues.00004.wav,661794,0.308526039,0.087840982,0.091528714,0.002303398,1835.004265512,343399.939274041,1748.172115826,88445.209035901,3579.757626704,1572977.831880870,0.101460539,0.001954125,-0.000017561,0.004814000,-0.000010113,0.003093899,135.999177632,-160.337707520,5195.291992188,126.219635010,853.784729004,-35.587810516,333.792938232,22.148071289,193.456100464,-32.478599548,336.276824951,10.852293968,134.831573486,-23.352329254,93.257095337,0.498433769,124.672126770,-11.793437004,130.073348999,1.207255840,99.675575256,-13.088418007,80.254066467,-2.813867331,86.430625916,-6.933385372,89.555442810,-7.552725315,70.943336487,-9.164666176,75.793403625,-4.520575523,86.099235535,-5.454033852,75.269706726,-0.916874111,53.613918304,-4.404827118,62.910812378,-11.703233719,55.195159912,blues
blues.00005.wav,661794,0.302456290,0.087532379,0.103493638,0.003980508,1831.993939607,1030482.369639860,1729.653286943,201910.508633154,3481.517591720,3274439.958151870,0.094041534,0.006233196,0.000000196,0.008082612,-0.000026506,0.003242044,69.837415541,-177.774246216,7307.416992188,118.205482483,3195.212890625,-17.565879822,654.373840332,30.762397766,485.746459961,-21.747840881,433.410003662,11.920994759,266.391540527,-20.730995178,169.741729736,3.186577797,133.736846924,-8.586038589,172.229385376,-0.932851493,100.126068115,-11.772434235,76.546546936,-2.405832529,78.707817078,-9.343665123,80.290092468,-9.936209679,47.552051544,-3.903994799,60.071102142,-5.576589108,72.549224854,-1.838262796,68.702026367,-2.783799887,42.447452545,-3.047909021,39.808784485,-8.109991074,46.311004639,blues
blues.00006.wav,661794,0.291327983,0.093981326,0.141874149,0.008803189,1459.366471696,437859.398051142,1389.009131185,185023.239545425,2795.610963330,1621442.025243220,0.073052237,0.001909171,-0.000009672,0.016923327,-0.000022373,0.005953942,71.777343750,-190.052368164,9656.535156250,130.289077759,1932.795776367,-36.369533539,1307.488159180,33.029033661,480.352050781,11.108782768,1083.648559570,-0.605583489,280.778137207,-20.871854782,152.263046265,0.273024768,102.915939331,-6.486139297,130.945236206,-5.516766548,153.450653076,-7.839751720,87.440841675,-3.128592491,64.225654602,-6.596197128,79.125976563,-9.950378418,63.190265656,-6.535177231,86.379135132,-10.068051338,83.248245239,-10.913175583,56.902153015,-6.971335888,38.231800079,-3.436504602,48.235740662,-6.483465672,70.170364380,blues
blues.00007.wav,661794,0.307954788,0.092902876,0.131822184,0.005531143,1451.667065843,449568.162454410,1577.270941421,168211.938804222,2954.836759988,1629129.971671580,0.061442246,0.001848816,0.000019417,0.013223032,-0.000048121,0.004838658,92.285156250,-179.347137451,6573.921875000,136.469009399,1479.249389648,-26.673137665,591.631958008,39.984241486,352.546447754,5.304416656,650.231628418,10.928611755,136.304153442,-20.564826965,163.771804810,8.511157036,151.294982910,-11.357249260,171.943161011,-3.468345881,178.185073853,-8.419937134,147.507843018,-6.949715614,83.718307495,-3.539139509,93.321403503,-8.041617393,57.490085602,-8.960675240,82.216911316,-8.426082611,70.438438416,-10.568935394,52.090892792,-10.784515381,60.461330414,-4.690677643,65.547515869,-8.630722046,56.401435852,blues
blues.00008.wav,661794,0.408879220,0.086512476,0.142416492,0.001507156,1719.368948043,163282.845438962,2031.740381003,105542.718193106,3782.316288428,1262916.988721470,0.064024888,0.000731482,0.000002265,0.012702081,-0.000019728,0.003465382,83.354334677,-121.363945007,2622.194824219,122.506668091,414.505889893,-14.738196373,341.217132568,46.131065369,193.621276855,-8.181879044,177.164031982,20.182962418,107.017570496,-19.173377991,57.664520264,23.039138794,77.069282532,-11.838223457,42.604530334,21.159997940,58.667663574,-6.718366146,48.945510864,6.992540836,56.430885315,-12.730595589,61.984580994,5.061324120,50.532127380,-5.183214664,32.967132568,-1.452559471,50.563751221,-7.041823864,28.894933701,2.695247889,36.889568329,3.412305355,33.698596954,-2.715692043,36.418430328,blues
blues.00009.wav,661794,0.273950398,0.092315964,0.081313662,0.004346865,1817.150863126,298236.141222316,1973.773306302,114070.112590838,3943.490565183,1367638.234526340,0.079174824,0.001377659,-0.000001662,0.007221407,-0.000023294,0.001676929,80.749511719,-213.239990234,6133.721679688,115.165603638,798.278747559,-11.693430901,668.961669922,39.014270782,350.708374023,-20.341278076,531.975524902,13.077605247,278.818145752,-9.173518181,126.726142883,9.011446953,68.012168884,-14.100633621,110.074890137,4.265942097,92.645416260,-6.046167850,84.933776855,3.782206535,104.449653625,0.221799493,76.338859558,-5.109399319,85.390258789,-0.410230458,103.988426208,-1.179920077,59.314601898,-1.916804314,58.418437958,-2.292660713,83.205230713,2.881967068,77.082221985,-4.235202789,91.468811035,blues
